date,sentiment_neg,sentiment_neu,sentiment_pos
2019-08-30 22:29:05+00:00,,,
2019-08-30 22:27:09+00:00,,,
2019-08-30 22:27:00+00:00,,,
2019-08-30 22:25:14+00:00,,,
2019-08-30 22:13:31+00:00,"0,0","1,0","0,0"
2019-08-30 22:06:41+00:00,"0,0","0,764","0,236"
2019-08-30 22:04:29+00:00,,,
2019-08-30 22:01:03+00:00,,,
2019-08-30 21:56:36+00:00,"0,0","1,0","0,0"
2019-08-30 21:48:44+00:00,"0,0","0,766","0,234"
2019-08-30 21:45:05+00:00,"0,0","0,931","0,069"
2019-08-30 21:39:14+00:00,"0,0","1,0","0,0"
2019-08-30 21:38:10+00:00,"0,0","0,496","0,504"
2019-08-30 21:35:37+00:00,"0,0","1,0","0,0"
2019-08-30 21:24:56+00:00,"0,0","1,0","0,0"
2019-08-30 21:09:49+00:00,"0,0","0,91","0,09"
2019-08-30 21:08:03+00:00,"0,0","0,71","0,29"
2019-08-30 21:07:12+00:00,,,
2019-08-30 21:05:30+00:00,,,
2019-08-30 21:03:02+00:00,"0,145","0,855","0,0"
2019-08-30 21:01:23+00:00,,,
2019-08-30 21:00:06+00:00,,,
2019-08-30 20:47:22+00:00,,,
2019-08-30 20:42:01+00:00,,,
2019-08-30 20:34:50+00:00,,,
2019-08-30 20:30:38+00:00,"0,0","0,895","0,105"
2019-08-30 20:30:20+00:00,"0,0","0,895","0,105"
2019-08-30 20:30:15+00:00,"0,0","0,942","0,058"
2019-08-30 20:27:01+00:00,"0,0","0,552","0,448"
2019-08-30 20:26:07+00:00,"0,0","1,0","0,0"
2019-08-30 20:17:39+00:00,"0,183","0,688","0,129"
2019-08-30 20:04:02+00:00,"0,0","0,938","0,062"
2019-08-30 19:59:54+00:00,"0,0","0,778","0,222"
2019-08-30 19:46:38+00:00,"0,043","0,886","0,07"
2019-08-30 19:41:08+00:00,"0,0","0,924","0,076"
2019-08-30 19:40:25+00:00,"0,0","0,905","0,095"
2019-08-30 19:32:03+00:00,"0,0","1,0","0,0"
2019-08-30 19:26:05+00:00,"0,0","1,0","0,0"
2019-08-30 19:20:02+00:00,"0,0","0,776","0,224"
2019-08-30 19:19:44+00:00,,,
2019-08-30 19:19:43+00:00,,,
2019-08-30 19:13:34+00:00,"0,0","0,789","0,211"
2019-08-30 19:09:46+00:00,,,
2019-08-30 19:07:27+00:00,"0,18","0,67","0,149"
2019-08-30 19:06:53+00:00,"0,0","1,0","0,0"
2019-08-30 19:06:05+00:00,"0,0","0,496","0,504"
2019-08-30 19:05:11+00:00,"0,0","0,847","0,153"
2019-08-30 19:04:25+00:00,,,
2019-08-30 19:00:56+00:00,"0,0","1,0","0,0"
2019-08-30 19:00:53+00:00,,,
2019-08-30 19:00:48+00:00,,,
2019-08-30 19:00:28+00:00,"0,15","0,85","0,0"
2019-08-30 19:00:06+00:00,"0,0","0,562","0,438"
2019-08-30 18:51:51+00:00,,,
2019-08-30 18:51:03+00:00,"0,035","0,873","0,092"
2019-08-30 18:48:28+00:00,"0,0","1,0","0,0"
2019-08-30 18:45:43+00:00,,,
2019-08-30 18:43:21+00:00,"0,0","0,89","0,11"
2019-08-30 18:30:15+00:00,"0,0","1,0","0,0"
2019-08-30 18:30:01+00:00,,,
2019-08-30 18:26:23+00:00,,,
2019-08-30 18:24:44+00:00,"0,0","0,827","0,173"
2019-08-30 18:20:52+00:00,"0,0","1,0","0,0"
2019-08-30 18:18:35+00:00,"0,0","0,779","0,221"
2019-08-30 18:15:27+00:00,"0,0","1,0","0,0"
2019-08-30 18:09:47+00:00,"0,0","1,0","0,0"
2019-08-30 18:07:36+00:00,"0,0","0,696","0,304"
2019-08-30 18:00:52+00:00,"0,0","0,863","0,137"
2019-08-30 18:00:26+00:00,"0,0","0,755","0,245"
2019-08-30 17:55:28+00:00,,,
2019-08-30 17:55:04+00:00,,,
2019-08-30 17:50:19+00:00,,,
2019-08-30 17:28:00+00:00,,,
2019-08-30 17:27:39+00:00,"0,048","0,754","0,198"
2019-08-30 17:18:26+00:00,,,
2019-08-30 17:16:23+00:00,"0,0","0,782","0,218"
2019-08-30 17:12:54+00:00,"0,0","0,928","0,072"
2019-08-30 17:01:29+00:00,"0,113","0,808","0,079"
2019-08-30 17:01:20+00:00,,,
2019-08-30 17:01:08+00:00,"0,0","0,828","0,172"
2019-08-30 16:59:19+00:00,"0,0","0,75","0,25"
2019-08-30 16:57:02+00:00,,,
2019-08-30 16:56:07+00:00,"0,0","0,771","0,229"
2019-08-30 16:47:01+00:00,"0,0","1,0","0,0"
2020-11-12 11:05:43+00:00,"0,0","0,85","0,15"
2019-08-30 16:40:54+00:00,"0,0","1,0","0,0"
2019-08-30 16:40:12+00:00,"0,0","0,899","0,101"
2019-08-30 16:37:50+00:00,,,
2019-08-30 16:36:19+00:00,"0,0","0,929","0,071"
2019-08-30 16:35:34+00:00,"0,0","0,861","0,139"
2019-08-30 16:33:59+00:00,"0,0","0,496","0,504"
2019-08-30 16:33:58+00:00,"0,0","1,0","0,0"
2019-08-30 16:31:47+00:00,,,
2019-08-30 16:28:45+00:00,"0,0","0,833","0,167"
2019-08-30 16:27:09+00:00,,,
2019-08-30 16:22:41+00:00,"0,0","0,79","0,21"
2019-08-30 16:22:17+00:00,,,
2019-08-30 16:20:05+00:00,,,
2019-08-30 16:19:34+00:00,"0,0","1,0","0,0"
2019-08-30 16:10:33+00:00,"0,0","0,58","0,42"
2019-08-30 16:10:02+00:00,"0,0","0,846","0,154"
2019-08-30 16:08:03+00:00,,,
2019-08-30 16:04:32+00:00,,,
2019-08-30 16:03:47+00:00,,,
2019-08-30 16:02:45+00:00,"0,0","0,912","0,088"
2019-08-30 16:00:25+00:00,,,
2019-08-30 16:00:12+00:00,"0,0","0,859","0,141"
2019-08-30 15:57:01+00:00,,,
2019-08-30 15:54:16+00:00,"0,0","1,0","0,0"
2019-08-30 15:48:57+00:00,,,
2019-08-30 15:45:11+00:00,,,
2019-08-30 15:36:49+00:00,"0,0","1,0","0,0"
2019-08-30 15:35:06+00:00,"0,0","0,775","0,225"
2019-08-30 15:33:48+00:00,"0,107","0,893","0,0"
2019-08-30 15:31:18+00:00,"0,0","1,0","0,0"
2019-08-30 15:21:36+00:00,"0,0","1,0","0,0"
2019-08-30 15:15:22+00:00,"0,0","0,899","0,101"
2019-08-30 15:12:49+00:00,,,
2019-08-30 15:12:09+00:00,"0,104","0,896","0,0"
2019-08-30 15:08:10+00:00,,,
2019-08-30 15:07:44+00:00,"0,0","0,64","0,36"
2019-08-30 15:02:32+00:00,"0,0","0,935","0,065"
2019-08-30 15:02:05+00:00,"0,0","0,907","0,093"
2019-08-30 15:01:09+00:00,"0,0","1,0","0,0"
2019-08-30 14:58:00+00:00,"0,0","0,675","0,325"
2019-08-30 14:56:13+00:00,,,
2019-08-30 14:51:11+00:00,,,
2019-08-30 14:45:18+00:00,"0,0","1,0","0,0"
2019-08-30 14:39:08+00:00,"0,0","1,0","0,0"
2019-08-30 14:38:50+00:00,,,
2019-08-30 14:34:52+00:00,,,
2019-08-30 14:34:39+00:00,"0,0","0,722","0,278"
2019-08-30 14:31:27+00:00,,,
2019-08-30 14:29:54+00:00,"0,0","0,888","0,112"
2019-08-30 14:28:21+00:00,"0,0","1,0","0,0"
2019-08-30 14:21:00+00:00,,,
2019-08-30 14:20:06+00:00,,,
2019-08-30 14:20:04+00:00,,,
2019-08-30 14:18:27+00:00,"0,153","0,807","0,039"
2019-08-30 14:15:14+00:00,,,
2019-08-30 14:08:00+00:00,"0,0","1,0","0,0"
2019-08-30 14:04:40+00:00,,,
2019-08-30 14:02:03+00:00,"0,25","0,75","0,0"
2019-08-30 14:01:54+00:00,"0,0","0,496","0,504"
2019-08-30 14:01:09+00:00,"0,0","1,0","0,0"
2019-08-30 14:01:00+00:00,,,
2019-08-30 14:01:00+00:00,"0,0","0,778","0,222"
2019-08-30 13:54:01+00:00,"0,076","0,924","0,0"
2019-08-30 13:52:50+00:00,,,
