brand,Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc,polarity
Nike,2020-10-24,0.02,0.825,0.155,11.43,88.57,77.13999999999999
Nike,2020-10-25,0.017,0.825,0.158,9.71,90.29,80.58000000000001
Nike,2020-10-26,0.017,0.831,0.152,10.06,89.94,79.88
Nike,2020-10-27,0.022,0.831,0.147,13.02,86.98,73.96000000000001
Nike,2020-10-28,0.017,0.833,0.15,10.18,89.82,79.63999999999999
Nike,2020-10-29,0.018,0.823,0.159,10.17,89.83,79.66
Nike,2020-10-30,0.015,0.806,0.179,7.73,92.27,84.53999999999999
Starbucks,2019-07-01,0.029,0.828,0.143,16.86,83.14,66.28
Starbucks,2019-07-02,0.039,0.828,0.133,22.67,77.33,54.66
Starbucks,2019-07-03,0.036,0.826,0.138,20.69,79.31,58.620000000000005
Starbucks,2019-07-04,0.033,0.829,0.138,19.3,80.7,61.400000000000006
Starbucks,2019-07-05,0.026,0.821,0.153,14.53,85.47,70.94
Starbucks,2019-07-06,0.089,0.808,0.103,46.35,53.65,7.299999999999997
Starbucks,2019-07-07,0.091,0.807,0.101,47.4,52.6,5.200000000000003
Starbucks,2019-07-08,0.066,0.817,0.116,36.26,63.74,27.480000000000004
Starbucks,2019-07-09,0.047,0.818,0.135,25.82,74.18,48.36000000000001
Starbucks,2019-07-10,0.038,0.823,0.138,21.59,78.41,56.81999999999999
Starbucks,2019-07-11,0.032,0.83,0.138,18.82,81.18,62.36000000000001
Starbucks,2019-07-12,0.032,0.827,0.141,18.5,81.5,63.0
Starbucks,2019-07-13,0.039,0.833,0.128,23.35,76.65,53.300000000000004
Starbucks,2019-07-14,0.033,0.83,0.137,19.41,80.59,61.18000000000001
Starbucks,2019-07-15,0.027,0.821,0.152,15.08,84.92,69.84
Starbucks,2019-07-16,0.031,0.822,0.147,17.42,82.58,65.16
Starbucks,2019-07-17,0.019,0.828,0.153,11.05,88.95,77.9
Starbucks,2019-07-18,0.027,0.831,0.142,15.98,84.02,68.03999999999999
Starbucks,2019-07-19,0.034,0.823,0.143,19.21,80.79,61.580000000000005
Starbucks,2019-07-20,0.026,0.837,0.138,15.85,84.15,68.30000000000001
Starbucks,2019-07-21,0.025,0.836,0.138,15.34,84.66,69.32
Starbucks,2019-07-22,0.021,0.847,0.132,13.73,86.27,72.53999999999999
Starbucks,2019-07-23,0.031,0.844,0.126,19.75,80.25,60.5
Starbucks,2019-07-24,0.027,0.836,0.137,16.46,83.54,67.08000000000001
