date;trend;replies;likes;caption
5/7/20, 11:03 AM;;0;0;$HNNMY NEW ARTICLE : H&M sales fall 57% year-on-year in March through early May dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
5/3/20, 03:05 PM;;0;0;$HNNMY NEW ARTICLE : Cheap t-shirts and jeans are harming the planet. H&M and Levi's want to change that dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/28/20, 07:53 PM;;0;0;"$HNNMY H&M to close stores in Italy 

newsfilter.io/a/b5b76fecf34..."
4/28/20, 06:29 PM;;0;0;$HNNMY NEW ARTICLE : H&M set to permanently close eight shops in Italy dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/25/20, 09:41 PM;Bullish;1;1;$VET.X $HNNMY
4/17/20, 03:52 AM;;0;0;Bangladesh garment workers seek unpaid wages as orders stop $HNNMY #HNNMY marketbeat.com/articles/ban...
4/15/20, 05:45 PM;;0;0;$HNNMY NEW ARTICLE : Retailer H&M now producing protective aprons at supplier dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/15/20, 03:57 PM;;0;0;$HNNMY NEW ARTICLE : H&M starts protective apron production at supplier dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/8/20, 02:03 PM;;0;0;"$HNNMY H & M adds new €980M credit line 

newsfilter.io/a/4e4699a9d9e..."
4/8/20, 01:45 PM;;0;0;$HNNMY NEW ARTICLE : H&M borrows 980 million euros to boost liquidity buffer amid pandemic dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 07:37 PM;;0;0;$HNNMY NEW ARTICLE : Clothing Giant H&M Is Making WHO-Approved Safety Masks dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 01:08 PM;;0;0;"$HNNMY Hennes & Mauritz reports Q1 results 

newsfilter.io/a/1d4ebc350cd..."
4/3/20, 01:07 PM;;0;0;$HNNMY NEW ARTICLE : Hennes & Mauritz reports Q1 results dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 12:33 PM;;0;0;$HNNMY NEW ARTICLE : H&M sees second-quarter loss, plans cost cuts as pandemic slams sales in March dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 11:57 AM;;0;0;$HNNMY NEW ARTICLE : H&M Has Paused Purchasing Amid Virus Lockdown dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 10:13 AM;;0;0;$HNNMY NEW ARTICLE : H&M sees second-quarter loss as pandemic slams sales in March dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 08:49 AM;;0;0;$HNNMY NEW ARTICLE : Sweden's H&M sees second-quarter loss as pandemic slams March sales dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 08:37 AM;;0;0;$HNNMY NEW ARTICLE : H&M's March sales tumble 46% as pandemic hits, sees Q2 loss dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/3/20, 05:31 AM;;0;0;"$HNNMY Earnings Call Tomorrow: 3:00 AM EST 
Analyst Rating: Buy 
Webcast: emea.directeventreg.com/reg..."
4/2/20, 12:49 PM;;0;0;$HNNMY NEW ARTICLE : H&M in talks with tens of thousands of staff to cut working hours due to pandemic dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
4/1/20, 04:57 PM;;0;0;$HNNMY NEW ARTICLE : H&M Will Honor Order Commitments Made to Suppliers Prior to Coronavirus Pandemic dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/30/20, 01:17 PM;;0;0;"$HNNMY NEW ARTICLE : Fast Fashion Leaders H&M And Zara; Weathering The Pandemic dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php..."
3/27/20, 07:15 PM;;0;0;Garment workers going unpaid as fashion labels cancel orders $HNNMY #HNNMY marketbeat.com/articles/gar...
3/27/20, 05:05 PM;;0;0;$HNNMY NEW ARTICLE : H&M starts protective face mask production at Chinese supplier dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/23/20, 03:07 PM;;0;0;$HNNMY NEW ARTICLE : Fashion retailer H&M weighs tens of thousands of job cuts because of coronavirus dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/23/20, 02:26 PM;;0;0;$HNNMY NEW ARTICLE : H&M -4% after scrapping dividend dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/23/20, 01:45 PM;;0;0;$HNNMY NEW ARTICLE : H&M scraps dividend due to coronavirus as all costs under review dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/19/20, 08:09 PM;;0;0;$HNNMY NEW ARTICLE : H&M issues notice of temporary lay-offs to 2,000 staff in Norway: DN dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
3/17/20, 07:17 PM;;0;0;$HNNMY NEW ARTICLE : H&M closes all stores in biggest markets Germany and the United States dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
