brand,Date,bullish,bearish,polarity
Coca-Cola,2021-01-21,122,1,0.98
Coca-Cola,2021-01-22,85,2,0.95
Coca-Cola,2021-01-23,5,0,1.0
Coca-Cola,2021-01-24,6,0,1.0
Coca-Cola,2021-01-25,33,2,0.89
Coca-Cola,2021-01-26,33,3,0.83
Coca-Cola,2021-01-27,25,1,0.92
Coca-Cola,2021-01-28,38,3,0.85
Coca-Cola,2021-01-29,21,2,0.83
Coca-Cola,2021-01-30,4,1,0.6
Coca-Cola,2021-01-31,4,1,0.6
Coca-Cola,2021-02-01,32,3,0.83
Coca-Cola,2021-02-02,34,1,0.94
Coca-Cola,2021-02-03,85,3,0.93
Coca-Cola,2021-02-04,93,8,0.84
Coca-Cola,2021-02-05,199,0,1.0
Coca-Cola,2021-02-06,12,0,1.0
Coca-Cola,2021-02-07,12,0,1.0
Coca-Cola,2021-02-08,41,1,0.95
Coca-Cola,2021-02-09,39,2,0.9
Coca-Cola,2021-02-10,107,13,0.78
Coca-Cola,2021-02-11,36,2,0.89
Coca-Cola,2021-02-12,18,3,0.71
Coca-Cola,2021-02-13,3,0,1.0
Coca-Cola,2021-02-14,4,0,1.0
Coca-Cola,2021-02-16,16,0,1.0
Coca-Cola,2021-02-17,7,1,0.75
Coca-Cola,2021-02-18,17,0,1.0
Coca-Cola,2021-02-19,19,2,0.81
Coca-Cola,2021-02-20,7,4,0.27
Coca-Cola,2021-02-21,8,18,-0.38
Coca-Cola,2021-02-22,24,20,0.09
Coca-Cola,2021-02-23,30,48,-0.23
Coca-Cola,2021-02-24,15,21,-0.17
Coca-Cola,2021-02-25,12,19,-0.23
Coca-Cola,2021-02-26,13,33,-0.43
Coca-Cola,2021-02-27,5,8,-0.23
Coca-Cola,2021-02-28,13,12,0.04
Coca-Cola,2021-03-01,16,19,-0.09
HM,2019-08-27,1,0,1.0
HM,2019-08-28,1,0,1.0
HM,2019-10-15,1,0,1.0
HM,2020-01-10,1,0,1.0
HM,2020-04-25,1,0,1.0
HM,2021-01-26,1,0,1.0
HM,2021-01-27,2,0,1.0
HM,2021-01-28,1,0,1.0
HM,2021-01-29,1,0,1.0
HM,2021-03-19,2,1,0.33
HM,2021-03-24,1,0,1.0
HM,2021-03-26,0,1,-1.0
Nike,2020-04-09,9,4,0.38
Nike,2020-04-10,0,1,-1.0
Nike,2020-04-12,1,1,0.0
Nike,2020-04-13,4,0,1.0
Nike,2020-04-14,11,1,0.83
Nike,2020-04-15,4,10,-0.43
Nike,2020-04-16,2,6,-0.5
Nike,2020-04-17,4,1,0.6
Nike,2020-04-19,1,0,1.0
Nike,2020-04-20,0,3,-1.0
Nike,2020-04-22,2,4,-0.33
Nike,2020-04-23,3,0,1.0
Nike,2020-04-24,5,2,0.43
Nike,2020-04-25,1,0,1.0
Nike,2020-04-28,1,2,-0.33
Nike,2020-04-29,3,3,0.0
Nike,2020-04-30,4,2,0.33
Nike,2020-05-01,2,7,-0.56
Nike,2020-05-02,1,0,1.0
Nike,2020-05-03,4,2,0.33
Nike,2020-05-04,0,1,-1.0
Nike,2020-05-05,2,3,-0.2
Nike,2020-05-06,1,0,1.0
Nike,2020-05-07,2,8,-0.6
Nike,2020-05-08,7,0,1.0
Nike,2020-05-09,1,0,1.0
Nike,2020-05-10,3,0,1.0
Nike,2020-05-11,2,2,0.0
Nike,2020-05-12,3,1,0.5
Nike,2020-05-13,2,2,0.0
Nike,2020-05-14,12,11,0.04
