brand,Date,tweets_count
HM,2020-09-21,1175
HM,2020-09-28,1226
HM,2020-10-05,1168
HM,2020-10-12,1187
HM,2020-10-19,1188
HM,2020-10-26,933
Nike,2019-07-01,20746
Nike,2019-07-08,13629
Nike,2019-07-15,10739
Nike,2019-07-22,10962
Nike,2019-07-29,10664
Nike,2019-08-05,10799
Nike,2019-08-12,11150
Nike,2019-08-19,10348
Nike,2019-08-26,11623
Nike,2019-09-02,10088
Nike,2019-09-09,10415
Nike,2019-09-16,10530
Nike,2019-09-23,10117
Nike,2019-09-30,10192
Nike,2019-10-07,12402
Nike,2019-10-14,11711
Nike,2019-10-21,11383
Nike,2019-10-28,9989
Nike,2019-11-04,9375
Nike,2019-11-11,7992
Nike,2019-11-18,7629
Nike,2019-11-25,7141
Nike,2019-12-02,7104
Nike,2019-12-09,7455
Nike,2019-12-16,6729
Nike,2019-12-23,6030
Nike,2019-12-30,7223
Nike,2020-01-06,7563
Nike,2020-01-13,8285
Nike,2020-01-20,9807
Nike,2020-01-27,10401
Nike,2020-02-03,10876
Nike,2020-02-10,10528
Nike,2020-02-17,10207
Nike,2020-02-24,10997
Nike,2020-03-02,10647
Nike,2020-03-09,10625
Nike,2020-03-16,9760
Nike,2020-03-23,11039
Nike,2020-03-30,9704
Nike,2020-04-06,9845
Nike,2020-04-13,10217
Nike,2020-04-20,10594
Nike,2020-04-27,10558
Nike,2020-05-04,11190
Nike,2020-05-11,11301
Nike,2020-05-18,11697
Nike,2020-05-25,12422
Nike,2020-06-01,11515
Nike,2020-06-08,12727
Nike,2020-06-15,10763
Nike,2020-06-22,11564
Nike,2020-06-29,11333
Nike,2020-07-06,11739
Nike,2020-07-13,11817
Nike,2020-07-20,12495
Nike,2020-07-27,16102
Nike,2020-08-03,13639
Nike,2020-08-10,12442
Nike,2020-08-17,12190
Nike,2020-08-24,12210
Nike,2020-08-31,12870
Nike,2020-09-07,11056
Nike,2020-09-14,10145
Nike,2020-09-21,10063
Nike,2020-09-28,9639
Nike,2020-10-05,9396
Nike,2020-10-12,9096
Nike,2020-10-19,9844
Nike,2020-10-26,7635
Starbucks,2019-07-01,4733
Starbucks,2019-07-08,4353
Starbucks,2019-07-15,3402
Starbucks,2019-07-22,3534
Starbucks,2019-07-29,3366
Starbucks,2019-08-05,3302
Starbucks,2019-08-12,3057
Starbucks,2019-08-19,3051
Starbucks,2019-08-26,4424
Starbucks,2019-09-02,3719
Starbucks,2019-09-09,3485
Starbucks,2019-09-16,3549
Starbucks,2019-09-23,3919
Starbucks,2019-09-30,3603
Starbucks,2019-10-07,3796
Starbucks,2019-10-14,3567
Starbucks,2019-10-21,3609
Starbucks,2019-10-28,3909
Starbucks,2019-11-04,5284
Starbucks,2019-11-11,3721
Starbucks,2019-11-18,3268
Starbucks,2019-11-25,3383
Starbucks,2019-12-02,3282
Starbucks,2019-12-09,11755
Starbucks,2019-12-16,3150
Starbucks,2019-12-23,2781
Starbucks,2019-12-30,2709
Starbucks,2020-01-06,2785
Starbucks,2020-01-13,3033
Starbucks,2020-01-20,3172
Starbucks,2020-01-27,3342
Starbucks,2020-02-03,3180
Starbucks,2020-02-10,3337
Starbucks,2020-02-17,3229
Starbucks,2020-02-24,3578
Starbucks,2020-03-02,3710
Starbucks,2020-03-09,3469
Starbucks,2020-03-16,3646
Starbucks,2020-03-23,2544
Starbucks,2020-03-30,1937
Starbucks,2020-04-06,1793
Starbucks,2020-04-13,1831
Starbucks,2020-04-20,1852
Starbucks,2020-04-27,1967
Starbucks,2020-05-04,2095
Starbucks,2020-05-11,2111
Starbucks,2020-05-18,2826
Starbucks,2020-05-25,2626
Starbucks,2020-06-01,2655
Starbucks,2020-06-08,6329
Starbucks,2020-06-15,2509
Starbucks,2020-06-22,2918
Starbucks,2020-06-29,2884
Starbucks,2020-07-06,2773
Starbucks,2020-07-13,2504
Starbucks,2020-07-20,2684
Starbucks,2020-07-27,2662
Starbucks,2020-08-03,2492
Starbucks,2020-08-10,2459
Starbucks,2020-08-17,2735
Starbucks,2020-08-24,3215
Starbucks,2020-08-31,3153
Starbucks,2020-09-07,2584
Starbucks,2020-09-14,2605
Starbucks,2020-09-21,2975
Starbucks,2020-09-28,3044
Starbucks,2020-10-05,2478
Starbucks,2020-10-12,2650
Starbucks,2020-10-19,2417
Starbucks,2020-10-26,2032
