exemplar	corr	n_followers
andybellatti	0.718697	13219
andreachernusrd	0.752459	347
nevardld	0.806145	2797
rmwnutrition	0.78547	2957
mayanahra	0.757671	3881
harvardhsph	0.13831	50000
healthcastleglo	0.717231	11098
chef_jessrd	0.77808	1495
nutritionistard	0.74655	3655
sarahkoszykrd	0.717106	2994
joansalgeblake	0.797248	3150
nutritionnews	0.69619	41423
johnshopkinssph	0.0188938	50000
christinekw	0.748075	2542
djblatner	0.794063	7995
elisazied	0.732079	42684
nutritionorg	0.750161	3069
ruthfrechman	0.788437	1492
healthyvoyager	0.60719	50000
davidperlmutter	0.671855	17456
barillacfn	0.582639	3721
