date,sentiment_neg,sentiment_neu,sentiment_pos
2019-07-31 15:44:44+00:00,"0,0","0,968","0,032"
2019-07-31 15:42:16+00:00,,,
2019-07-31 15:39:42+00:00,"0,0","0,872","0,128"
2019-07-31 15:39:22+00:00,,,
2019-07-31 15:34:10+00:00,"0,0","0,846","0,154"
2019-07-31 15:25:35+00:00,,,
2019-07-31 15:23:58+00:00,,,
2019-07-31 15:20:58+00:00,"0,0","0,75","0,25"
2019-07-31 15:19:36+00:00,,,
2019-07-31 15:16:24+00:00,"0,0","0,839","0,161"
2019-07-31 15:12:18+00:00,"0,0","1,0","0,0"
2019-07-31 15:10:42+00:00,"0,0","0,735","0,265"
2019-07-31 15:07:41+00:00,"0,0","0,866","0,134"
2019-07-31 15:01:06+00:00,,,
2019-07-31 14:54:51+00:00,"0,153","0,847","0,0"
2019-07-31 14:45:15+00:00,"0,0","0,915","0,085"
2019-07-31 14:45:05+00:00,"0,0","1,0","0,0"
2019-07-31 14:44:39+00:00,"0,0","1,0","0,0"
2019-07-31 14:34:31+00:00,"0,0","1,0","0,0"
2019-07-31 14:32:03+00:00,"0,0","0,892","0,108"
2019-07-31 14:30:41+00:00,,,
2019-07-31 14:29:28+00:00,"0,0","0,831","0,169"
2019-07-31 14:26:35+00:00,,,
2019-07-31 14:26:21+00:00,,,
2019-07-31 14:24:33+00:00,,,
2019-07-31 14:22:23+00:00,,,
2019-07-31 14:21:38+00:00,,,
2019-07-31 14:21:06+00:00,,,
2019-07-31 14:09:32+00:00,,,
2019-07-31 14:07:42+00:00,"0,0","0,894","0,106"
2019-07-31 14:04:49+00:00,,,
2019-07-31 14:01:10+00:00,"0,0","1,0","0,0"
2019-07-31 14:00:39+00:00,,,
2019-07-31 14:00:32+00:00,"0,0","0,778","0,222"
2019-07-31 13:54:46+00:00,"0,0","0,609","0,391"
2019-07-31 13:54:42+00:00,"0,0","0,87","0,13"
2019-07-31 13:52:53+00:00,"0,0","0,588","0,412"
2019-07-31 13:45:45+00:00,,,
2019-07-31 13:41:59+00:00,,,
2019-07-31 13:37:16+00:00,,,
2019-07-31 13:33:35+00:00,"0,0","1,0","0,0"
2019-07-31 13:32:39+00:00,,,
2020-11-12 11:05:43+00:00,"0,0","0,85","0,15"
2019-07-31 13:31:49+00:00,"0,0","0,576","0,424"
2019-07-31 13:31:18+00:00,,,
2019-07-31 13:31:05+00:00,"0,0","0,824","0,176"
2019-07-31 13:30:50+00:00,,,
2019-07-31 13:30:46+00:00,"0,0","1,0","0,0"
2019-07-31 13:28:47+00:00,,,
2019-07-31 13:27:08+00:00,"0,067","0,861","0,072"
2019-07-31 13:24:40+00:00,"0,0","0,612","0,388"
2019-07-31 13:23:14+00:00,,,
2019-07-31 13:16:26+00:00,,,
2019-07-31 13:12:20+00:00,"0,0","1,0","0,0"
2019-07-31 13:10:28+00:00,"0,0","0,878","0,122"
2019-07-31 13:09:04+00:00,,,
2019-07-31 13:04:32+00:00,,,
2019-07-31 13:03:31+00:00,,,
2019-07-31 12:55:00+00:00,,,
2019-07-31 12:54:20+00:00,"0,0","0,787","0,213"
2019-07-31 12:52:34+00:00,"0,0","0,784","0,216"
2019-07-31 12:50:46+00:00,"0,0","0,727","0,273"
2019-07-31 12:50:10+00:00,,,
2019-07-31 12:47:55+00:00,"0,0","0,853","0,147"
2019-07-31 12:45:55+00:00,"0,0","0,847","0,153"
2019-07-31 12:43:23+00:00,,,
2019-07-31 12:25:58+00:00,,,
2019-07-31 12:18:41+00:00,"0,0","1,0","0,0"
2019-07-31 12:12:35+00:00,"0,0","0,602","0,398"
2019-07-31 12:06:56+00:00,"0,0","0,496","0,504"
2019-07-31 12:06:52+00:00,"0,124","0,729","0,148"
2019-07-31 12:04:22+00:00,,,
2019-07-31 12:03:20+00:00,,,
2019-07-31 12:02:20+00:00,,,
2019-07-31 12:02:16+00:00,,,
